Electricity.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.10333201701234147
60;2010/7/1 1:00;0.10840972246082484
120;2010/7/1 2:00;0.1196614877626783
180;2010/7/1 3:00;0.10242976460390749
240;2010/7/1 4:00;0.1032835167745378
300;2010/7/1 5:00;0.16336553930713066
360;2010/7/1 6:00;0.9687100995485143
420;2010/7/1 7:00;0.5949287381357184
480;2010/7/1 8:00;0.26342183776973677
540;2010/7/1 9:00;0.11986126032587074
600;2010/7/1 10:00;0.10997555707053466
660;2010/7/1 11:00;0.09674875933368132
720;2010/7/1 12:00;0.1049365856994207
780;2010/7/1 13:00;0.2862079487352786
840;2010/7/1 14:00;0.3347882304953818
900;2010/7/1 15:00;0.6215576034393758
960;2010/7/1 16:00;0.18127716507203187
1020;2010/7/1 17:00;0.31931648793149253
1080;2010/7/1 18:00;0.8931424092562854
1140;2010/7/1 19:00;2.0690017957242945
1200;2010/7/1 20:00;3.604519571869618
1260;2010/7/1 21:00;2.0359471963111786
1320;2010/7/1 22:00;0.2898538527658092
1380;2010/7/1 23:00;0.10687789353775265
1440;2010/7/2 0:00;0.1153225302710629
1500;2010/7/2 1:00;0.11145279902360547
1560;2010/7/2 2:00;0.08938235068423073
1620;2010/7/2 3:00;0.11807861594354378
1680;2010/7/2 4:00;0.262446826609991
1740;2010/7/2 5:00;0.311970574715455
1800;2010/7/2 6:00;0.24718323493539587
1860;2010/7/2 7:00;0.7739603341482296
1920;2010/7/2 8:00;0.37131140968167053
1980;2010/7/2 9:00;0.11907621036598243
2040;2010/7/2 10:00;0.09327547729418775
2100;2010/7/2 11:00;0.11650316432737884
2160;2010/7/2 12:00;0.16039086122235865
2220;2010/7/2 13:00;0.3225607251415621
2280;2010/7/2 14:00;0.14355811959244388
2340;2010/7/2 15:00;0.1017507518356096
2400;2010/7/2 16:00;0.21415308758109022
2460;2010/7/2 17:00;0.2664131653468108
2520;2010/7/2 18:00;1.006882985726612
2580;2010/7/2 19:00;2.0790726478782346
2640;2010/7/2 20:00;1.0698709324202897
2700;2010/7/2 21:00;0.3803216936464105
2760;2010/7/2 22:00;0.30936473845890633
2820;2010/7/2 23:00;0.10245655682083847
2880;2010/7/3 0:00;0.09336547777174735
2940;2010/7/3 1:00;0.12292467651299128
3000;2010/7/3 2:00;0.09866999272379462
3060;2010/7/3 3:00;0.11901644462577589
3120;2010/7/3 4:00;0.10462574561149707
3180;2010/7/3 5:00;0.20246202594529128
3240;2010/7/3 6:00;0.7416519516985967
3300;2010/7/3 7:00;1.1975118760370504
3360;2010/7/3 8:00;3.428448731619861
3420;2010/7/3 9:00;4.625956291411423
3480;2010/7/3 10:00;1.1724931261642149
3540;2010/7/3 11:00;1.428360564400869
3600;2010/7/3 12:00;0.7327120231051896
3660;2010/7/3 13:00;0.7223233830895983
3720;2010/7/3 14:00;2.727143859844262
3780;2010/7/3 15:00;2.32458610654481
3840;2010/7/3 16:00;0.12934002906247768
3900;2010/7/3 17:00;0.5897899059715029
3960;2010/7/3 18:00;0.8813543179010843
4020;2010/7/3 19:00;1.799523872312936
4080;2010/7/3 20:00;0.8101194790813319
4140;2010/7/3 21:00;0.7001751266960459
4200;2010/7/3 22:00;0.5831407763180634
4260;2010/7/3 23:00;0.11595846984656522
4320;2010/7/4 0:00;0.10797049779785396
4380;2010/7/4 1:00;0.11294720084482023
4440;2010/7/4 2:00;0.10206613314531744
4500;2010/7/4 3:00;0.11664107076526757
4560;2010/7/4 4:00;0.09976654896691237
4620;2010/7/4 5:00;0.3724714625248989
4680;2010/7/4 6:00;0.8507538286527161
4740;2010/7/4 7:00;0.6891053294798684
4800;2010/7/4 8:00;3.542007754054422
4860;2010/7/4 9:00;3.139254806191329
4920;2010/7/4 10:00;2.584730753848049
4980;2010/7/4 11:00;0.4729447031717133
5040;2010/7/4 12:00;0.2631626759695838
5100;2010/7/4 13:00;1.7422261061712185
5160;2010/7/4 14:00;0.7474834671557756
5220;2010/7/4 15:00;0.41270931337633737
5280;2010/7/4 16:00;0.36366907555951744
5340;2010/7/4 17:00;0.3086109739655381
5400;2010/7/4 18:00;0.6736848878616624
