Electricity.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.0949954575600589
60;2010/7/1 1:00;0.04874398067537274
120;2010/7/1 2:00;0.04717699774758824
180;2010/7/1 3:00;0.046757255642546444
240;2010/7/1 4:00;0.07284172446806796
300;2010/7/1 5:00;0.10005435400135758
360;2010/7/1 6:00;0.4377845973829725
420;2010/7/1 7:00;0.35270899199372574
480;2010/7/1 8:00;0.06166911837655755
540;2010/7/1 9:00;0.20354734405894687
600;2010/7/1 10:00;0.18383124329780257
660;2010/7/1 11:00;0.2457269516092545
720;2010/7/1 12:00;0.049464490508811944
780;2010/7/1 13:00;0.0825190499646558
840;2010/7/1 14:00;0.1764004560948941
900;2010/7/1 15:00;0.1453143190438621
960;2010/7/1 16:00;0.09755082612211302
1020;2010/7/1 17:00;0.09935648150320665
1080;2010/7/1 18:00;0.05300453917195169
1140;2010/7/1 19:00;0.773716441243266
1200;2010/7/1 20:00;0.2777089792654038
1260;2010/7/1 21:00;0.0821983077564529
1320;2010/7/1 22:00;0.052769616428483365
1380;2010/7/1 23:00;0.045175957393897875
1440;2010/7/2 0:00;0.04362142446237847
1500;2010/7/2 1:00;0.10321129804572592
1560;2010/7/2 2:00;0.08099673472948024
1620;2010/7/2 3:00;0.0435113537764154
1680;2010/7/2 4:00;0.04437962378110128
1740;2010/7/2 5:00;0.11918795648063192
1800;2010/7/2 6:00;0.6862737921378852
1860;2010/7/2 7:00;0.11923484495701803
1920;2010/7/2 8:00;0.06242969194601184
1980;2010/7/2 9:00;0.1596561142139275
2040;2010/7/2 10:00;0.13680975554470315
2100;2010/7/2 11:00;0.2812037369904092
2160;2010/7/2 12:00;0.2980273731702429
2220;2010/7/2 13:00;0.10725473535119472
2280;2010/7/2 14:00;0.10245407732800563
2340;2010/7/2 15:00;0.10614484329201478
2400;2010/7/2 16:00;0.17823402842246727
2460;2010/7/2 17:00;0.5608978692080874
2520;2010/7/2 18:00;0.5995137778373352
2580;2010/7/2 19:00;0.2825072742820437
2640;2010/7/2 20:00;0.08622744387216269
2700;2010/7/2 21:00;0.16858293859051984
2760;2010/7/2 22:00;0.1071886073035776
2820;2010/7/2 23:00;0.05456078407479583
2880;2010/7/3 0:00;0.044265566359952026
2940;2010/7/3 1:00;0.1060777902806833
3000;2010/7/3 2:00;0.08002561186848829
3060;2010/7/3 3:00;0.04756382952849043
3120;2010/7/3 4:00;0.04644227838928051
3180;2010/7/3 5:00;0.04572707357637573
3240;2010/7/3 6:00;0.09107254307310257
3300;2010/7/3 7:00;0.39096381441013045
3360;2010/7/3 8:00;0.470389686874734
3420;2010/7/3 9:00;0.19619447355644387
3480;2010/7/3 10:00;0.2030787635715874
3540;2010/7/3 11:00;0.07558157644257422
3600;2010/7/3 12:00;0.32741664632532214
3660;2010/7/3 13:00;0.1229417594791204
3720;2010/7/3 14:00;0.10107601851469533
3780;2010/7/3 15:00;0.11266268504601523
3840;2010/7/3 16:00;0.09116059003117621
3900;2010/7/3 17:00;0.13109711666479257
3960;2010/7/3 18:00;0.16900764857233355
4020;2010/7/3 19:00;0.07706268087551803
4080;2010/7/3 20:00;0.09899188107945002
4140;2010/7/3 21:00;0.14409651013062072
4200;2010/7/3 22:00;0.15145645690064996
4260;2010/7/3 23:00;0.04563935289696129
4320;2010/7/4 0:00;0.04576988199371441
4380;2010/7/4 1:00;0.04639566340889524
4440;2010/7/4 2:00;0.04650064958292514
4500;2010/7/4 3:00;0.09131964469290144
4560;2010/7/4 4:00;0.07703491846923124
4620;2010/7/4 5:00;0.04782469717377277
4680;2010/7/4 6:00;0.047147703872402746
4740;2010/7/4 7:00;0.6261414705688619
4800;2010/7/4 8:00;0.440357911726226
4860;2010/7/4 9:00;0.6267159144592324
4920;2010/7/4 10:00;0.17456236052016952
4980;2010/7/4 11:00;0.23318668945153417
5040;2010/7/4 12:00;0.2721604806277285
5100;2010/7/4 13:00;0.5218756819487596
5160;2010/7/4 14:00;0.15220710419240524
5220;2010/7/4 15:00;0.0500755876679112
5280;2010/7/4 16:00;0.05770559675069314
5340;2010/7/4 17:00;0.08593594471659843
5400;2010/7/4 18:00;0.09597224740065435
5460;2010/7/4 19:00;0.05335860428904396
5520;2010/7/4 20:00;0.3763872159149936
